,Datapoint Name,Datapoint Id,Property Name,Property Id,Mapped Object Type,Mapped Object Name,Mapped Object Id,Mapped Property Name,Mapped Property Id
24481,CDU4:02F046 Stanlow,8482,Value,-6,BMS DataPoint,CDU4:02F046 Stanlow,1598,BMS Value,1
24482,CDU4:02F046 Stanlow,8482,Value,-6,Tag,CDU4:02F046 Stanlow,640961,Elu Value,1253
24483,CDU4:02F046.CMPPI Stanlow,8483,Value,-6,BMS DataPoint,CDU4:02F046.CMPPI Stanlow,1599,BMS Value,1
24484,CDU4:02F046.CMPPI Stanlow,8483,Value,-6,Tag,CDU4:02F046.CMPPI Stanlow,640962,Elu Value,1253
24485,CDU4:02F046.CP Stanlow,553062,Value,-6,Tag,CDU4:02F046.CP Stanlow,640963,Elu Value,1253
24486,CDU4:02F046.MODE Stanlow,8485,Value,-6,BMS DataPoint,CDU4:02F046.MODE Stanlow,1601,BMS Value,1
24487,CDU4:02F046.MODE Stanlow,8485,Value,-6,Tag,CDU4:02F046.MODE Stanlow,640964,Elu Value,1253
24488,CDU4:02F046.OP Stanlow,8486,Value,-6,BMS DataPoint,CDU4:02F046.OP Stanlow,1602,BMS Value,1
24489,CDU4:02F046.OP Stanlow,8486,Value,-6,Tag,CDU4:02F046.OP Stanlow,640965,Elu Value,1253
24490,CDU4:02F046.SP Stanlow,8487,Value,-6,BMS DataPoint,CDU4:02F046.SP Stanlow,1603,BMS Value,1
24491,CDU4:02F046.SP Stanlow,8487,Value,-6,Tag,CDU4:02F046.SP Stanlow,640966,Elu Value,1253
24492,CDU4:02F046.US Stanlow,553063,Value,-6,Tag,CDU4:02F046.US Stanlow,640967,Elu Value,1253
24493,CDU4:02F046H Stanlow,8489,Value,-6,BMS DataPoint,CDU4:02F046H Stanlow,1605,BMS Value,1
24494,CDU4:02F046H Stanlow,8489,Value,-6,Tag,CDU4:02F046H Stanlow,640968,Elu Value,1253
24567,CDU4:02F052 Stanlow,8530,Value,-6,BMS DataPoint,CDU4:02F052 Stanlow,1646,BMS Value,1
24568,CDU4:02F052 Stanlow,8530,Value,-6,Tag,CDU4:02F052 Stanlow,642037,Elu Value,1253
24569,CDU4:02F052.CMPPI Stanlow,8531,Value,-6,BMS DataPoint,CDU4:02F052.CMPPI Stanlow,1647,BMS Value,1
24570,CDU4:02F052.CMPPI Stanlow,8531,Value,-6,Tag,CDU4:02F052.CMPPI Stanlow,642038,Elu Value,1253
24571,CDU4:02F052.MODE Stanlow,8532,Value,-6,BMS DataPoint,CDU4:02F052.MODE Stanlow,1648,BMS Value,1
24572,CDU4:02F052.MODE Stanlow,8532,Value,-6,Tag,CDU4:02F052.MODE Stanlow,642039,Elu Value,1253
24573,CDU4:02F052.OP Stanlow,8533,Value,-6,BMS DataPoint,CDU4:02F052.OP Stanlow,1649,BMS Value,1
24574,CDU4:02F052.OP Stanlow,8533,Value,-6,Tag,CDU4:02F052.OP Stanlow,642040,Elu Value,1253
24575,CDU4:02F052.SP Stanlow,8534,Value,-6,BMS DataPoint,CDU4:02F052.SP Stanlow,1650,BMS Value,1
24576,CDU4:02F052.SP Stanlow,8534,Value,-6,Tag,CDU4:02F052.SP Stanlow,642041,Elu Value,1253
24577,CDU4:02F053 Stanlow,8535,Value,-6,BMS DataPoint,CDU4:02F053 Stanlow,1651,BMS Value,1
24578,CDU4:02F053 Stanlow,8535,Value,-6,Tag,CDU4:02F053 Stanlow,640969,Elu Value,1253
24579,CDU4:02F053.CP Stanlow,553072,Value,-6,Tag,CDU4:02F053.CP Stanlow,640970,Elu Value,1253
24580,CDU4:02F053.MODE Stanlow,8537,Value,-6,BMS DataPoint,CDU4:02F053.MODE Stanlow,1653,BMS Value,1
24581,CDU4:02F053.MODE Stanlow,8537,Value,-6,Tag,CDU4:02F053.MODE Stanlow,640971,Elu Value,1253
24582,CDU4:02F053.MOV Stanlow,8538,Value,-6,BMS DataPoint,CDU4:02F053.MOV Stanlow,1654,BMS Value,1
24583,CDU4:02F053.MOV Stanlow,8538,Value,-6,Tag,CDU4:02F053.MOV Stanlow,640972,Elu Value,1253
24584,CDU4:02F053.OP Stanlow,8539,Value,-6,BMS DataPoint,CDU4:02F053.OP Stanlow,1655,BMS Value,1
24585,CDU4:02F053.OP Stanlow,8539,Value,-6,Tag,CDU4:02F053.OP Stanlow,640973,Elu Value,1253
24586,CDU4:02F053.PHOZ Stanlow,8540,Value,-6,BMS DataPoint,CDU4:02F053.PHOZ Stanlow,1656,BMS Value,1
24587,CDU4:02F053.PHOZ Stanlow,8540,Value,-6,Tag,CDU4:02F053.PHOZ Stanlow,640974,Elu Value,1253
24588,CDU4:02F053.SP Stanlow,8541,Value,-6,BMS DataPoint,CDU4:02F053.SP Stanlow,1657,BMS Value,1
24589,CDU4:02F053.SP Stanlow,8541,Value,-6,Tag,CDU4:02F053.SP Stanlow,640975,Elu Value,1253
24590,CDU4:02F053.SPHI Stanlow,8542,Value,-6,BMS DataPoint,CDU4:02F053.SPHI Stanlow,1658,BMS Value,1
24591,CDU4:02F053.SPHI Stanlow,8542,Value,-6,Tag,CDU4:02F053.SPHI Stanlow,640976,Elu Value,1253
24592,CDU4:02F053.SPLO Stanlow,8543,Value,-6,BMS DataPoint,CDU4:02F053.SPLO Stanlow,1659,BMS Value,1
24593,CDU4:02F053.SPLO Stanlow,8543,Value,-6,Tag,CDU4:02F053.SPLO Stanlow,640977,Elu Value,1253
24594,CDU4:02F053.STSF Stanlow,8544,Value,-6,BMS DataPoint,CDU4:02F053.STSF Stanlow,1660,BMS Value,1
24595,CDU4:02F053.STSF Stanlow,8544,Value,-6,Tag,CDU4:02F053.STSF Stanlow,640978,Elu Value,1253
24596,CDU4:02F053DEN Stanlow,553073,Value,-6,Tag,CDU4:02F053DEN Stanlow,640979,Elu Value,1253
24597,CDU4:02F053SP.PHOZ Stanlow,8546,Value,-6,BMS DataPoint,CDU4:02F053SP.PHOZ Stanlow,1662,BMS Value,1
24598,CDU4:02F053SP.PHOZ Stanlow,8546,Value,-6,Tag,CDU4:02F053SP.PHOZ Stanlow,640980,Elu Value,1253
24599,CDU4:02F053SP.SRHI Stanlow,8547,Value,-6,BMS DataPoint,CDU4:02F053SP.SRHI Stanlow,1663,BMS Value,1
